tissue,model,size,acc,precision,recall,f1,auc
Adipose Subcutaneous,finetune,small,0.821,0.895,0.773,0.829,0.909
Adipose Subcutaneous,finetune,middle,0.836,0.853,0.853,0.853,0.885
Adipose Subcutaneous,finetune,large,0.743,0.698,0.787,0.74,0.816
Adipose Subcutaneous,e2e,small,0.667,0.696,0.727,0.711,0.595
Adipose Subcutaneous,e2e,middle,0.541,0.579,0.647,0.611,0.495
Adipose Subcutaneous,e2e,large,0.594,0.56,0.596,0.577,0.619
Adipose Subcutaneous,enformer,small,0.615,0.652,0.682,0.667,0.665
Adipose Subcutaneous,enformer,middle,0.59,0.68,0.5,0.576,0.66
Adipose Subcutaneous,enformer,large,0.545,0.509,0.574,0.54,0.64
Adipose Subcutaneous,zeroshot,small,0.821,0.857,0.818,0.837,0.902
Adipose Subcutaneous,zeroshot,middle,0.836,0.857,0.882,0.87,0.908
Adipose Subcutaneous,zeroshot,large,0.653,0.588,0.851,0.696,0.738
Adipose Subcutaneous,basenji2,small,0.462,0.52,0.591,0.553,0.462
Adipose Subcutaneous,basenji2,middle,0.541,0.615,0.471,0.533,0.668
Adipose Subcutaneous,expecto,small,0.41,0.48,0.545,0.511,
Adipose Subcutaneous,expecto,middle,0.508,0.6,0.353,0.444,
Artery Tibial,finetune,small,0.8,0.826,0.792,0.809,0.857
Artery Tibial,finetune,middle,0.842,0.833,0.862,0.847,0.882
Artery Tibial,finetune,large,0.711,0.736,0.736,0.736,0.762
Artery Tibial,e2e,small,0.6,0.636,0.583,0.609,0.535
Artery Tibial,e2e,middle,0.544,0.543,0.621,0.581,0.479
Artery Tibial,e2e,large,0.536,0.587,0.509,0.545,0.607
Artery Tibial,enformer,small,0.587,0.509,0.545,0.694,0.71
Artery Tibial,enformer,middle,0.544,0.56,0.483,0.519,0.59
Artery Tibial,enformer,large,0.546,0.585,0.585,0.585,0.588
Artery Tibial,zeroshot,small,0.8,0.826,0.792,0.809,0.849
Artery Tibial,zeroshot,middle,0.842,0.833,0.862,0.847,0.873
Artery Tibial,zeroshot,large,0.701,0.688,0.83,0.752,0.786
Artery Tibial,basenji2,small,0.556,0.562,0.75,0.643,0.526
Artery Tibial,basenji2,middle,0.421,0.409,0.31,0.353,0.482
Artery Tibial,expecto,small,0.444,0.481,0.542,0.51,
Artery Tibial,expecto,middle,0.439,0.412,0.241,0.304,
Breast Mammary Tissue,finetune,small,0.958,0.941,1,0.97,0.95
Breast Mammary Tissue,finetune,middle,0.967,0.933,1,0.966,0.954
Breast Mammary Tissue,finetune,large,0.704,0.607,0.773,0.68,0.756
Breast Mammary Tissue,e2e,small,0.542,0.692,0.562,0.621,0.493
Breast Mammary Tissue,e2e,middle,0.4,0.389,0.5,0.438,0.472
Breast Mammary Tissue,e2e,large,0.593,0.5,0.682,0.577,0.632
Breast Mammary Tissue,enformer,small,0.522,0.778,0.438,0.56,0.516
Breast Mammary Tissue,enformer,middle,0.633,0.6,0.643,0.621,0.588
Breast Mammary Tissue,enformer,large,0.5,0.424,0.636,0.509,0.563
Breast Mammary Tissue,zeroshot,small,0.958,0.951,1,0.97,0.966
Breast Mammary Tissue,zeroshot,middle,0.967,0.933,1,0.966,0.946
Breast Mammary Tissue,zeroshot,large,0.685,0.586,0.773,0.667,0.726
Breast Mammary Tissue,basenji2,small,0.542,0.778,0.438,0.56,0.609
Breast Mammary Tissue,basenji2,middle,0.467,0.438,0.5,0.467,0.442
Breast Mammary Tissue,expecto,small,0.458,0.6,0.562,0.581,
Breast Mammary Tissue,expecto,middle,0.567,0.545,0.429,0.48,
Colon Transverse,finetune,small,0.97,0.933,1,0.966,0.963
Colon Transverse,finetune,middle,0.921,1,0.857,0.923,0.937
Colon Transverse,finetune,large,0.773,0.8,0.8,0.8,0.876
Colon Transverse,e2e,small,0.576,0.5,0.714,0.588,0.613
Colon Transverse,e2e,middle,0.5,0.556,0.476,0.513,0.545
Colon Transverse,e2e,large,0.386,0.462,0.48,0.471,0.448
Colon Transverse,enformer,small,0.594,0.5,0.692,0.581,0.549
Colon Transverse,enformer,middle,0.395,0.444,0.381,0.41,0.463
Colon Transverse,enformer,large,0.524,0.647,0.44,0.524,0.581
Colon Transverse,zeroshot,small,0.97,0.933,1,0.966,0.981
Colon Transverse,zeroshot,middle,0.921,1,0.857,0.923,0.97
Colon Transverse,zeroshot,large,0.818,0.774,0.96,0.857,0.84
Colon Transverse,basenji2,small,0.515,0.429,0.429,0.429,0.505
Colon Transverse,basenji2,middle,0.421,0.476,0.476,0.476,0.367
Colon Transverse,expecto,small,0.333,0.333,0.571,0.421,
Colon Transverse,expecto,middle,0.395,0.438,0.333,0.378,
Nerve Tibial,finetune,small,0.892,0.87,0.952,0.909,0.914
Nerve Tibial,finetune,middle,0.861,0.75,0.923,0.828,0.896
Nerve Tibial,finetune,large,0.735,0.707,0.759,0.732,0.792
Nerve Tibial,e2e,small,0.486,0.556,0.476,0.513,0.493
Nerve Tibial,e2e,middle,0.514,0.395,0.654,0.493,0.501
Nerve Tibial,e2e,large,0.558,0.534,0.574,0.554,0.569
Nerve Tibial,enformer,small,0.649,0.667,0.762,0.711,0.657
Nerve Tibial,enformer,middle,0.458,0.373,0.731,0.494,0.478
Nerve Tibial,enformer,large,0.541,0.508,0.588,0.545,0.573
Nerve Tibial,zeroshot,small,0.892,0.87,0.952,0.909,0.888
Nerve Tibial,zeroshot,middle,0.875,0.774,0.923,0.842,0.897
Nerve Tibial,zeroshot,large,0.69,0.63,0.852,0.724,0.749
Nerve Tibial,basenji2,small,0.541,0.6,0.571,0.585,0.595
Nerve Tibial,basenji2,middle,0.586,0.378,0.654,0.479,0.453
Nerve Tibial,expecto,small,0.432,0.5,0.571,0.533,
Nerve Tibial,expecto,middle,0.472,0.227,0.192,0.208,
Thyroid,finetune,small,0.913,0.923,0.923,0.923,0.935
Thyroid,finetune,middle,0.827,0.842,0.727,0.78,0.868
Thyroid,finetune,large,0.624,0.603,0.625,0.614,0.684
Thyroid,e2e,small,0.609,0.667,0.615,0.64,0.648
Thyroid,e2e,middle,0.577,0.5,0.818,0.621,0.513
Thyroid,e2e,large,0.41,0.413,0.554,0.473,0.421
Thyroid,enformer,small,0.696,0.773,0.654,0.708,0.741
Thyroid,enformer,middle,0.692,0.625,0.682,0.652,0.719
Thyroid,enformer,large,0.487,0.465,0.611,0.528,0.498
Thyroid,zeroshot,small,0.935,0.926,0.962,0.943,0.956
Thyroid,zeroshot,middle,0.827,0.81,0.773,0.791,0.923
Thyroid,zeroshot,large,0.658,0.621,0.732,0.672,0.714
Thyroid,basenji2,small,0.565,0.6,0.692,0.643,0.644
Thyroid,basenji2,middle,0.635,0.556,0.682,0.612,0.718
Thyroid,expecto,small,0.457,0.519,0.538,0.528,
Thyroid,expecto,middle,0.442,0.333,0.318,0.326,
